2021-07-09 00:40:18,427 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625780418.4237275, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:40:18,473 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625780418.4716992, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:40:18,489 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625780418.4888465, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:40:18,544 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625780418.5431578, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:40:18,568 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625780418.566146, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:40:48,427 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625780448.4250753, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:40:48,515 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625780448.5130198, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:40:48,564 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625780448.5621395, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:40:48,577 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625780448.5761309, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:40:48,613 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625780448.6111133, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:41:02,587 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625780462.5862942, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:41:02,686 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625780462.6847506, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:41:02,695 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625780462.6927493, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:41:02,720 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625780462.718856, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:41:02,750 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625780462.74971, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
